time,x,y,v,w,traffic,enc_r,enc_l,laser
59.55896306037903,0.0009628145663928152,0.0,0.0,0.0,NONE,1.3984711170196533,1.3983441591262817,5.0
59.60366654396057,0.0029318537960266594,-1.8173442845711468e-06,0.08,-9.449891876530003e-07,NONE,1.0515270233154297,1.3983441591262817,5.0
59.62977194786072,0.004040602678333571,-3.941029558155879e-06,0.08,-9.449891876530003e-07,NONE,1.3963154554367065,1.7452362775802612,5.0
59.63146638870239,0.00485644096700547,-6.589807543930074e-06,0.08,-9.449891876530003e-07,NONE,1.7551016807556152,1.4040813446044922,5.0
59.650813817977905,0.0060238978133276,-9.236077594753257e-06,0.08,-9.449891876530003e-07,NONE,1.3984711170196533,1.7480889558792114,5.0
59.652403831481934,0.006815755361808557,-1.2141452992925998e-05,0.08,-9.449891876530003e-07,NONE,1.7520666122436523,1.4016532897949219,5.0
59.655717611312866,0.007628080773554779,-1.4349245257399224e-05,0.08,-9.449891876530003e-07,NONE,1.7457109689712524,1.396568775177002,5.0
59.69281268119812,0.009041116268668464,-1.6810883092598908e-05,0.09999999999999999,0.0035034105997983358,NONE,2.0977067947387695,1.7551016807556152,5.0
59.69420886039734,0.010229544162115802,-1.726686852790844e-05,0.09999999999999999,0.0035034105997983358,NONE,2.0977067947387695,2.0975160598754883,5.0
59.731489181518555,0.011663268084066307,-1.576944213106942e-05,0.09999999999999999,0.0035034105997983358,NONE,1.7525451183319092,1.4019083976745605,5.0
59.73265266418457,0.013087418682586515,-1.628774300070865e-05,0.10999999999999999,0.003547707128251675,NONE,1.7477715015411377,2.097135305404663,5.0
59.75110197067261,0.015159069153685877,-2.062452601457826e-05,0.10999999999999999,0.003547707128251675,NONE,1.8068289756774902,2.0975160598754883,5.0
59.7802312374115,0.01665570433982918,-2.577165796479278e-05,0.10999999999999999,0.003547707128251675,NONE,2.0977067947387695,1.7527047395706177,5.0
59.781503200531006,0.017988650821738433,-3.0355842199189244e-05,0.11999999999999998,0.006919210620960807,NONE,2.102862596511841,2.0977067947387695,5.0
59.782469034194946,0.019274313448662178,-3.477741082560153e-05,0.11999999999999998,0.006919210620960807,NONE,2.4756510257720947,2.1026711463928223,5.0
59.78327465057373,0.02039776478293403,-3.864111275555742e-05,0.11999999999999998,0.006919210620960807,NONE,2.4756510257720947,2.474287271499634,5.0
59.819430351257324,0.023866909995075077,-5.056111040696114e-05,0.11999999999999998,0.006919210620960807,NONE,2.2819271087646484,2.474287271499634,5.0
59.820634603500366,0.02493286845351686,-5.864450862360011e-05,0.12999999999999998,0.01523465544837592,NONE,2.101332187652588,2.799738883972168,5.0
